name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Cresswell,530,7,0,0,0,0,0,0,0,0,0.4,-55998,0,4.2,0,0.0
Aaron Hickey,104,7,0,0,1,10,540,0,0,0,0.4,3000,4,4.5,11,-1.8571428571428568
Aaron Wan-Bissaka,401,7,3,1,1,6,340,0,0,0,2.6,-51531,2,4.5,15,-0.8095238095238084
Abdul Rahman Baba,190,7,0,0,0,0,0,0,0,0,0.0,-235,0,4.0,0,0.0
Adam Smith,84,7,0,0,0,1,7,0,0,0,0.0,-1337,0,4.4,1,0.14285714285714285
Adam Webster,153,7,0,0,0,11,360,0,0,0,0.2,-9822,1,4.4,3,-0.6666666666666665
Aidan Francis-Clarke,648,7,0,0,0,0,0,0,0,0,0.0,-335,0,4.0,0,0.0
Alex Murphy,634,7,0,0,0,0,0,0,0,0,0.3,-7554,0,3.9,0,0.0
Alex Telles,370,7,0,0,0,0,0,0,0,0,0.0,-650,0,4.5,0,0.0
Alexandre Moreno Lopera,32,7,0,0,0,0,0,0,0,0,0.1,-141,0,5.0,0,0.0
Alfie Doughty,321,7,4,1,0,9,382,0,0,0,0.2,1501,0,4.4,16,-0.2380952380952381
Alfie Gilchrist,716,7,0,0,0,0,0,0,0,0,0.0,454,0,4.0,0,0.0
Amari'i Bell,316,7,0,0,0,12,560,0,0,0,5.6,-238851,0,4.0,9,-0.8571428571428572
Ameen Al-Dakhil,157,7,0,0,0,16,630,0,0,0,0.8,24772,0,4.0,9,-0.4285714285714284
Andrew Omobamidele,711,7,0,0,0,0,0,0,0,0,0.0,89,0,4.5,0,0.0
Andrew Robertson,307,7,3,0,1,7,630,0,0,0,6.8,201840,1,6.6,25,-6.142857142857142
Anel Ahmedhodžić,471,7,0,0,0,19,630,0,0,0,0.3,-17329,3,4.3,2,-0.3809523809523809
Angelo Ogbonna,577,7,0,0,0,1,111,0,0,0,0.1,-3158,0,4.4,3,-0.7142857142857144
Antonee Robinson,283,7,1,0,2,12,540,0,0,0,0.6,-6657,1,4.5,15,-0.1904761904761916
Ashley Phillips,702,7,0,0,0,0,0,0,0,0,0.1,3441,0,4.0,0,0.0
Ashley Young,588,7,0,0,0,12,613,0,0,0,0.5,-20246,2,4.4,8,-1.1428571428571432
Auston Trusty,27,7,0,0,0,2,15,0,0,0,0.9,-16937,0,3.9,1,0.14285714285714285
Axel Disasi,611,7,3,0,3,6,630,0,0,0,6.9,458354,2,5.1,32,-3.0
Aymeric Laporte,357,7,0,0,0,0,11,0,0,0,0.1,-30586,0,4.9,1,0.0
Bashir Humphreys,671,7,0,0,0,0,0,0,0,0,0.0,-191,0,4.0,0,0.0
Ben Chilwell,195,7,2,1,1,5,334,0,0,0,11.2,-401117,3,5.5,15,-2.2857142857142865
Ben Davies,495,7,0,1,0,0,35,0,0,0,0.5,-31063,0,4.3,6,-0.7142857142857144
Ben Godfrey,252,7,0,0,0,0,1,0,0,0,0.1,-6158,0,4.4,1,-0.4285714285714286
Ben Greenwood,619,7,0,0,0,0,0,0,0,0,0.2,-677,0,4.0,0,0.0
Ben Johnson,536,7,0,0,0,0,0,0,0,0,0.1,-2704,0,4.4,0,0.0
Ben Mee,109,7,0,0,0,3,151,0,0,0,1.8,-410557,0,4.8,3,-0.9047619047619048
Bendegúz Bolla,547,7,0,0,0,0,0,0,0,0,0.6,-29528,0,4.0,0,0.0
Benjamin White,29,7,4,1,3,6,630,0,0,0,10.4,75383,1,5.5,36,-2.0
Benoît Badiashile,191,7,0,0,0,0,0,0,0,0,0.0,-3265,0,4.4,0,0.0
Bobby Thomas,179,7,0,0,0,0,0,0,0,0,0.0,-1036,0,4.0,0,0.0
Brandon Williams,374,7,0,0,0,0,0,0,0,0,0.1,-9292,0,4.0,0,0.0
CJ Egan-Riley,166,7,0,0,0,0,0,0,0,0,0.2,3050,0,3.9,0,0.0
Calum Chambers,37,7,0,0,0,0,0,0,0,0,1.0,-31486,0,3.9,0,0.0
Calvin Bassey,610,7,0,0,0,3,106,0,0,0,0.2,-15187,0,4.4,0,0.19047619047619047
Charlie Goode,102,7,0,0,0,0,0,0,0,0,0.1,-3406,0,4.0,0,0.0
Charlie Taylor,178,7,0,0,0,5,360,0,0,0,2.1,107381,2,3.9,5,-0.4285714285714286
Chris Basham,474,7,0,0,0,6,282,0,0,0,1.0,42737,1,4.0,7,-0.7619047619047619
Chris Mepham,75,7,0,0,0,1,33,0,0,0,0.1,-3849,1,4.3,1,-0.4285714285714286
Chris Richards,238,7,0,0,0,3,92,0,0,0,0.5,-1489,0,3.9,2,-0.09523809523809523
Clément Lenglet,699,7,0,0,0,0,0,0,0,0,0.0,1356,0,4.5,0,0.0
Connor Roberts,176,7,0,1,0,16,627,0,0,0,0.3,-4873,2,4.4,10,0.0952380952380949
Craig Dawson,551,7,0,0,1,13,610,0,0,0,0.3,-351,2,4.5,12,-1.7619047619047628
Cristian Romero,511,7,1,0,2,6,553,1,0,0,15.8,1276333,2,4.8,28,-6.095238095238094
Cédric Alves Soares,2,7,0,0,0,0,0,0,0,0,0.4,-4933,0,3.9,0,0.0
César Azpilicueta,189,7,0,0,0,0,0,0,0,0,0.0,-96,0,4.5,0,0.0
Dan Burn,407,7,0,0,3,7,630,0,0,0,7.3,396001,1,4.6,29,-1.7142857142857135
Dan Potts,333,7,0,0,0,0,0,0,0,0,0.1,-3198,0,3.9,0,0.0
Dara O'Shea,173,7,0,0,0,11,270,0,0,0,0.2,-6027,0,4.4,2,-0.2857142857142858
Davinson Sánchez,512,7,0,0,0,2,76,0,0,0,0.1,-10555,1,4.4,0,0.0
Destiny Udogie,519,7,4,2,2,8,592,0,0,0,19.1,1599373,3,4.8,26,-6.619047619047617
Diego Carlos Santos Silva,41,7,0,0,0,4,160,0,0,0,0.3,-22350,0,4.4,4,-1.1428571428571428
Diogo Dalot Teixeira,377,7,1,0,1,10,474,0,0,0,1.8,-17935,1,4.9,12,-1.0952380952380958
Djed Spence,517,7,0,0,0,0,0,0,0,0,0.3,-29522,0,4.0,0,0.0
Emerson Leite de Souza Junior,497,7,1,0,0,3,97,0,0,0,1.0,-5803,0,4.5,11,-0.8095238095238084
Emerson Palmieri dos Santos,532,7,2,1,1,10,630,0,0,0,0.7,23610,3,4.5,18,-0.7142857142857135
Emil Krafth,417,7,0,0,0,0,0,0,0,0,0.0,-832,0,4.4,0,0.0
Eric Bailly,375,7,0,0,0,0,0,0,0,0,0.1,-10246,0,4.0,0,0.0
Eric Dier,496,7,0,0,0,0,0,0,0,0,0.6,-53827,0,4.3,0,0.0
Ethan Ampadu,185,7,0,0,0,0,0,0,0,0,0.0,-749,0,4.0,0,0.0
Ethan Pinnock,112,7,1,0,1,10,630,0,0,0,1.8,-14588,0,4.5,16,-2.238095238095237
Ezri Konsa Ngoyo,48,7,1,0,2,11,630,0,0,0,1.0,-13299,1,4.5,19,-2.523809523809524
Fabian Schär,427,7,2,0,3,7,630,0,0,0,5.6,310012,1,5.1,25,-1.5238095238095235
Felipe Augusto de Almeida Monteiro,445,7,0,0,0,0,0,0,0,0,0.0,-1424,0,4.4,0,0.0
Femi Seriki,653,7,0,0,0,0,0,0,0,0,0.1,1331,0,4.0,0,0.0
Fodé Ballo-Touré,707,7,0,0,0,0,0,0,0,0,0.0,645,0,4.5,0,0.0
Gabriel Osho,330,7,0,0,0,0,0,0,0,0,0.0,-871,0,4.4,0,0.0
Gabriel dos Santos Magalhães,5,7,0,0,2,3,384,0,0,0,12.4,-1682659,1,4.7,16,-1.3809523809523814
George Baldock,473,7,0,0,0,4,250,0,0,0,6.7,-680691,1,3.9,4,-0.7142857142857144
Giulian Biancone,438,7,0,0,0,0,0,0,0,0,0.1,-5151,0,3.9,0,0.0
Gonzalo Montiel,679,7,0,0,0,1,121,0,0,0,0.0,1654,2,4.5,1,-0.2
Hannes Delcroix,674,7,0,0,0,6,139,0,0,0,0.0,1166,1,4.0,2,0.16666666666666674
Harrison Ashby,404,7,0,0,0,0,0,0,0,0,0.0,-1952,0,4.0,0,0.0
Harry Maguire,387,7,0,0,0,2,26,0,0,0,0.3,-29341,0,4.2,1,0.14285714285714285
Harry Toffolo,465,7,0,1,0,0,30,0,0,0,0.0,-1944,0,4.4,4,0.5714285714285714
Hjalmar Ekdal,167,7,0,0,0,0,0,0,0,0,0.1,-11086,0,3.9,0,0.0
Hugo Bueno López,548,7,0,0,1,3,140,1,0,0,0.1,-2860,0,4.4,8,-1.8571428571428568
Ibrahima Konaté,302,7,0,0,0,3,204,0,0,0,1.2,-66987,0,4.9,6,-0.3809523809523814
Igor Julio dos Santos de Paulo,606,7,0,0,0,0,0,0,0,0,0.1,-5405,0,4.3,0,0.0
Illia Zabarnyi,89,7,0,0,1,15,630,0,0,0,0.1,-514,1,4.5,11,-2.2857142857142856
Issa Diop,271,7,2,0,3,12,630,0,0,0,1.0,23994,2,4.5,21,-1.333333333333334
Issa Kaboré,602,7,0,1,0,8,476,0,0,0,7.0,119289,2,4.0,13,-1.0
Ivan Perišić,507,7,0,1,0,1,98,0,0,0,1.2,-194979,2,4.8,6,-1.2857142857142856
Jack Robinson,576,7,0,1,0,19,619,0,0,0,0.1,-1763,2,4.5,6,-1.2857142857142856
Jake O'Brien,235,7,0,0,0,0,0,0,0,0,0.1,-8121,0,4.0,0,0.0
Jakub Kiwior,10,7,0,0,0,2,91,0,0,0,0.1,-3571,0,4.3,2,-0.4285714285714286
Jamaal Lascelles,419,7,0,0,1,0,106,0,0,0,0.9,41280,0,3.9,7,0.4285714285714286
Jamal Lewis,420,7,0,0,0,0,0,0,0,0,0.0,-733,0,4.0,0,0.0
James Hill,69,7,0,0,0,0,15,0,0,0,0.2,-9623,0,4.0,1,0.0
James Tarkowski,265,7,3,1,0,12,630,0,0,0,3.3,125429,0,4.5,22,-2.0
James Tomkins,241,7,0,0,0,0,1,0,0,0,0.6,-28650,0,4.0,1,0.0
Jan Paul van Hecke,150,7,0,0,0,3,270,0,0,0,1.7,32479,1,4.0,5,-1.0952380952380951
Japhet Tanganga,518,7,0,0,0,0,0,0,0,0,0.5,-39339,0,4.0,0,0.0
Jarell Quansah,626,7,0,0,0,1,114,0,0,0,0.1,3692,0,4.0,4,-1.190476190476191
Jarrad Branthwaite,245,7,0,0,0,7,450,0,0,0,0.6,16988,3,4.0,5,-0.6666666666666665
Javier Manquillo Gaitán,422,7,0,0,0,0,0,0,0,0,0.0,-1556,0,4.0,0,0.0
Jayden Bogle,476,7,0,0,1,6,227,0,0,0,0.1,1978,0,4.5,14,-3.2857142857142856
Joachim Andersen,220,7,9,0,3,7,630,0,0,0,12.8,992188,0,4.8,45,-2.238095238095241
Joe Gomez,298,7,0,0,1,3,413,0,0,0,0.5,8436,0,4.5,14,-3.2857142857142856
Joe Rodon,510,7,0,0,0,0,0,0,0,0,0.1,-11512,0,4.0,0,0.0
Joe Worrall,469,7,3,0,1,7,425,0,0,0,0.1,-1292,0,4.5,12,-4.047619047619048
Joel Matip,305,7,0,0,1,5,436,1,0,0,0.5,10085,0,4.9,11,-3.8571428571428568
Joel Ward,242,7,0,0,3,7,622,0,0,0,0.3,1224,3,4.5,21,-0.4285714285714288
John Egan,480,7,0,0,0,17,482,0,0,0,0.1,-6272,2,4.4,1,-0.4285714285714284
John Stones,368,7,0,0,0,0,0,0,0,0,3.2,-2073650,0,5.3,0,0.0
Jonathan Castro Otto,560,7,0,0,0,0,4,0,0,0,0.1,-2605,0,4.4,1,0.14285714285714285
Jonathan Panzo,460,7,0,0,0,0,0,0,0,0,0.1,-6451,0,4.0,0,0.0
Jonny Evans,703,7,3,1,1,2,94,0,0,0,0.9,84133,0,4.0,12,2.0
Jordan Beyer,160,7,1,0,0,12,503,0,0,0,2.6,-160806,3,4.0,6,-0.04761904761904789
Joseph Johnson,682,7,0,0,0,0,0,0,0,0,0.0,740,0,4.0,0,0.0
Josh Brooking,723,7,0,0,0,0,0,0,0,0,0.0,58,0,4.0,0,0.0
Josh Powell,637,7,0,0,0,0,0,0,0,0,0.1,-870,0,4.0,0,0.0
João Cancelo,346,7,0,0,0,0,0,0,0,0,1.2,-236091,0,5.8,0,0.0
Joël Veltman,151,7,0,1,0,11,422,0,0,0,0.8,-29806,1,4.4,10,-2.8095238095238093
Joško Gvardiol,616,7,1,0,2,2,371,0,0,0,5.0,109580,1,5.0,17,-2.0
Jurriën Timber,585,7,0,0,0,0,49,0,0,0,0.6,-455236,1,4.7,0,0.0
Kell Watts,431,7,0,0,0,0,0,0,0,0,0.1,-6344,0,4.0,0,0.0
Kenny Tete,285,7,0,0,2,8,427,0,0,0,0.5,-17528,2,4.4,12,-1.5714285714285712
Kevin Mbabu,277,7,0,0,0,0,0,0,0,0,0.3,-26478,0,4.0,0,0.0
Ki-Jana Hoever,556,7,0,0,0,0,0,0,0,0,0.1,-3794,0,4.0,0,0.0
Kieran Tierney,24,7,0,0,0,0,0,0,0,0,0.1,-23580,0,4.4,0,0.0
Kieran Trippier,430,7,8,4,3,7,609,0,0,0,44.0,1068141,1,6.8,43,-1.761904761904761
Konstantinos Mavropanos,676,7,0,0,0,0,1,0,0,0,0.0,653,0,4.5,1,0.16666666666666666
Konstantinos Tsimikas,311,7,0,0,0,0,4,0,0,0,0.1,-4350,0,4.4,1,-0.1428571428571429
Kortney Hause,45,7,0,0,0,0,0,0,0,0,0.2,-4144,0,4.0,0,0.0
Kristoffer Ajer,90,7,0,1,0,5,210,0,0,0,0.3,-5066,0,4.5,8,-0.7142857142857144
Kurt Zouma,544,7,4,0,1,10,630,0,0,0,2.2,105979,1,4.5,25,-4.809523809523809
Kyle Walker,369,7,2,1,3,5,630,0,0,0,16.3,1070391,1,5.3,29,-3.2857142857142847
Levi Colwill,197,7,3,1,3,6,619,0,0,0,5.2,195649,0,4.6,31,-2.523809523809524
Lewis Dunk,129,7,0,0,0,14,630,0,0,0,3.5,-100253,2,5.0,8,-2.238095238095237
Lewis Hall,204,7,0,0,0,0,9,0,0,0,0.2,-5189,0,4.4,1,-0.047619047619047616
Lisandro Martínez,391,7,0,1,0,8,375,1,0,0,3.3,-386085,2,4.8,5,-1.5238095238095235
Lloyd Kelly,70,7,2,0,1,5,276,0,0,0,0.0,-58,1,4.5,10,-2.095238095238096
Loïc Mbe Soh,454,7,0,0,0,0,0,0,0,0,0.1,-5413,0,4.0,0,0.0
Luc De Fougerolles,625,7,0,0,0,0,0,0,0,0,0.1,-487,0,4.0,0,0.0
Lucas Digne,42,7,2,3,2,11,620,0,0,0,5.6,401507,4,4.6,26,-4.571428571428571
Luke McNally,171,7,0,0,0,0,0,0,0,0,0.0,-1443,0,4.0,0,0.0
Luke Shaw,398,7,0,0,1,2,180,0,0,0,3.6,-2022334,1,5.2,6,-0.14285714285714324
Luke Thomas,693,7,0,0,0,12,292,0,0,0,0.1,3058,0,4.0,1,0.0
Mads Bech Sørensen,93,7,0,0,0,0,0,0,0,0,0.1,-9471,0,4.0,0,0.0
Mads Juel Andersen,315,7,1,0,0,5,313,0,0,0,1.9,114594,1,4.0,12,-4.047619047619048
Mads Roerslev Rasmussen,114,7,0,0,0,2,139,0,0,0,0.1,-1478,0,4.4,6,-0.3333333333333335
Malang Sarr,214,7,0,0,0,0,0,0,0,0,0.1,-3701,0,4.4,0,0.0
Malo Gusto,203,7,2,2,2,4,409,0,0,0,8.8,684545,0,4.2,22,-6.333333333333332
Manuel Akanji,341,7,1,0,3,4,540,0,0,0,7.9,237931,1,5.0,23,-2.4285714285714293
Marc Cucurella Saseta,198,7,0,0,1,0,90,0,0,0,0.5,-17832,1,4.8,5,0.7142857142857143
Marc Guéhi,228,7,3,0,3,4,540,0,0,0,1.7,-15596,0,4.5,26,-0.6666666666666661
Marcos Senesi,83,7,0,1,0,10,345,0,0,0,0.1,-3829,1,4.4,7,-2.095238095238096
Mason Holgate,255,7,0,0,0,0,0,0,0,0,0.7,-100675,0,4.0,0,0.0
Mathias Jorgensen,121,7,0,0,0,0,6,0,0,0,0.1,-3038,0,4.4,1,0.0
Matt Doherty,598,7,0,0,0,3,91,0,0,0,0.2,-10989,0,4.3,2,0.09523809523809523
Matt Targett,428,7,0,0,0,4,76,0,0,0,0.1,-6429,1,4.3,1,-0.2857142857142857
Matty Cash,36,7,4,1,2,10,626,1,0,0,26.0,1736279,2,4.9,34,-4.9523809523809526
Max Aarons,643,7,0,0,1,15,614,0,0,0,0.2,7013,1,4.5,11,-1.904761904761905
Max Kilman,563,7,2,0,1,13,630,0,0,0,0.7,-9335,1,4.5,15,-2.6190476190476204
Max Lowe,484,7,0,0,0,2,124,0,0,0,0.0,-4900,0,4.4,3,-0.1428571428571428
Michael Keane,257,7,0,0,0,5,181,0,0,0,0.2,-9353,1,4.4,2,-0.1428571428571428
Michał Karbownik,136,7,0,0,0,0,0,0,0,0,0.0,-2057,0,4.0,0,0.0
Micky van de Ven,639,7,1,0,2,8,630,0,0,0,1.4,86808,1,4.5,19,-3.1428571428571423
Milos Kerkez,595,7,0,0,1,14,605,1,0,0,0.2,-3976,1,4.5,10,-1.8571428571428568
Mohamed Dräger,444,7,0,0,0,0,0,0,0,0,0.1,-7664,0,4.0,0,0.0
Moussa Niakhaté,457,7,0,0,0,4,179,0,0,0,0.0,-910,0,4.5,1,-0.7619047619047621
Murillo Santiago Costa dos Santos,696,7,0,0,0,1,90,0,0,0,0.0,170,0,4.5,2,0.5
Nathan Aké,342,7,1,0,1,4,371,0,0,0,6.5,108236,0,5.1,20,-4.142857142857142
Nathan Collins,96,7,0,1,1,8,549,0,0,0,0.5,14081,1,4.5,17,-3.1428571428571423
Nathan Patterson,262,7,2,1,0,8,375,0,0,0,0.2,-2299,1,4.5,11,-3.095238095238095
Nathaniel Clyne,222,7,0,0,0,0,0,0,0,0,0.1,-4627,0,4.4,0,0.0
Nathaniel Phillips,306,7,0,0,0,0,0,0,0,0,0.1,-12341,0,4.0,0,0.0
Nayef Aguerd,522,7,0,0,1,9,516,0,0,0,0.8,7488,0,4.5,17,-1.0
Neco Williams,467,7,0,0,0,1,108,0,0,0,0.2,-8297,0,4.4,3,-0.2857142857142856
Nuno Varela Tavares,23,7,0,0,0,2,93,0,0,0,0.3,-809,2,4.0,0,-0.19047619047619047
Nélson Cabral Semedo,572,7,0,0,1,13,623,0,0,0,0.4,3075,3,4.5,11,-1.238095238095238
Oleksandr Zinchenko,31,7,1,0,2,4,347,0,0,0,5.5,-139068,0,4.9,18,-2.1428571428571432
Olu Aina,604,7,0,0,1,8,397,0,0,0,0.1,-1086,3,4.5,8,-2.666666666666667
Omar Richards,461,7,0,0,0,0,0,0,0,0,0.0,-3393,0,4.4,0,0.0
Owen Dodgson,622,7,0,0,0,0,0,0,0,0,0.0,-2292,0,4.0,0,0.0
Pau Torres,584,7,2,0,2,9,599,0,0,0,2.2,-36981,0,4.5,21,-2.4285714285714293
Paul Dummett,581,7,0,0,0,0,0,0,0,0,0.3,6578,0,3.9,0,0.0
Pedro Porro,506,7,3,2,2,6,537,0,0,0,8.0,518069,1,5.1,26,-3.80952380952381
Pervis Estupiñán,131,7,5,3,0,10,495,1,0,0,51.3,48311,2,5.2,25,-3.2857142857142847
Raphaël Varane,395,7,2,0,1,5,322,0,0,0,2.8,-107284,0,5.0,18,0.0952380952380949
Rayan Aït-Nouri,545,7,0,0,0,9,470,0,0,0,0.4,-3289,2,4.5,7,-0.5238095238095237
Reece Burke,318,7,0,1,0,10,451,0,0,0,0.1,7381,1,4.0,10,-0.7142857142857144
Reece James,206,7,0,0,0,1,75,0,0,0,3.3,-1197259,0,5.3,2,0.0
Rhys Norrington-Davies,487,7,0,0,0,0,0,0,0,0,0.1,-201,0,3.9,0,0.0
Richie Laryea,452,7,0,0,0,0,0,0,0,0,0.0,-455,0,4.5,0,0.0
Rico Henry,103,7,0,1,1,5,401,0,0,0,2.1,-50204,1,4.5,13,-1.9523809523809528
Rico Lewis,358,7,0,0,1,0,80,0,0,0,0.3,-21477,0,4.3,8,-0.666666666666667
Rob Holding,7,7,0,0,0,0,0,0,0,0,0.1,-6103,0,4.4,0,0.0
Ryan Fredericks,68,7,0,0,0,0,0,0,0,0,0.0,-1344,0,4.4,0,0.0
Ryan Giles,553,7,0,0,0,8,268,0,0,0,0.1,-3392,0,4.5,4,-1.190476190476191
Ryan Sessegnon,514,7,0,0,0,0,0,0,0,0,0.0,-370,0,4.4,0,0.0
Rúben Gato Alves Dias,350,7,1,0,2,5,540,1,0,0,8.4,58428,0,5.5,18,-3.333333333333334
Santiago Bueno,697,7,0,0,0,0,0,0,0,0,0.0,291,0,4.5,0,0.0
Scott McKenna,455,7,1,0,1,6,416,0,0,0,0.1,-2212,0,4.5,12,-3.7619047619047623
Seamus Coleman,247,7,0,0,0,0,0,0,0,0,0.0,-3703,0,4.4,0,0.0
Sepp van den Berg,312,7,0,0,0,0,0,0,0,0,0.0,-1881,0,4.0,0,0.0
Serge Aurier,436,7,3,2,1,9,486,0,0,0,1.7,93458,2,4.5,19,-3.7142857142857135
Sergio Gómez,366,7,0,1,0,0,15,0,0,0,1.2,13208,0,3.9,5,-1.9523809523809528
Sergio Reguilón,508,7,0,0,1,3,162,0,0,0,0.7,41227,1,4.4,6,-0.4761904761904763
Steve Cook,441,7,0,0,0,0,0,0,0,0,0.0,-2132,0,4.5,0,0.0
Sven Botman,405,7,4,1,2,3,446,0,0,0,20.0,249099,1,4.7,30,-3.571428571428571
Takehiro Tomiyasu,25,7,0,0,1,1,151,0,0,0,0.3,-5468,0,4.5,7,-0.9523809523809526
Tariq Lamptey,139,7,0,2,0,5,137,0,0,0,8.5,124740,2,3.9,8,-1.7142857142857144
Teden Mengi,393,7,0,0,0,2,124,0,0,0,0.7,45056,0,3.9,2,0.2857142857142857
Terence Kongolo,274,7,0,0,0,0,0,0,0,0,0.1,-6975,0,4.0,0,0.0
Thiago Emiliano da Silva,217,7,2,0,3,6,630,0,0,0,3.8,55695,0,5.0,27,-3.095238095238095
Thilo Kehrer,537,7,0,0,0,1,18,0,0,0,0.1,-5851,1,4.3,2,-0.2380952380952381
Tim Ream,281,7,4,0,3,10,513,0,0,0,2.1,139617,1,4.5,26,-4.7142857142857135
Timothy Castagne,688,7,3,0,2,3,287,0,0,0,0.6,46680,1,4.5,16,1.916666666666666
Tino Livramento,633,7,0,0,0,0,25,0,0,0,0.2,-8273,0,4.4,3,-0.04761904761904745
Tom Lockyer,575,7,1,0,0,12,505,0,0,0,0.2,-1064,1,4.3,13,0.5238095238095237
Tosin Adarabioyo,286,7,0,0,0,0,1,0,0,0,0.0,-4099,0,4.3,1,-0.2857142857142857
Toti António Gomes,573,7,0,0,0,2,159,0,0,0,0.1,-2798,0,4.4,5,-0.1904761904761907
Trent Alexander-Arnold,290,7,3,1,1,4,342,0,0,0,8.0,-952537,2,7.9,17,-5.571428571428571
Trevoh Chalobah,194,7,0,0,0,0,0,0,0,0,0.1,-14848,0,4.3,0,0.0
Tyrell Malacia,389,7,0,0,0,0,0,0,0,0,0.0,-3703,0,4.3,0,0.0
Tyrick Mitchell,234,7,2,1,3,7,630,0,0,0,1.4,72055,1,4.5,28,-2.19047619047619
Tyrone Mings,51,7,0,0,0,2,30,0,0,0,1.9,-988150,0,4.2,0,0.0
Victor Lindelöf,386,7,0,0,1,5,440,0,0,0,0.3,3767,1,4.5,12,-0.9523809523809526
Victor da Silva,182,7,0,0,0,3,92,0,0,0,0.1,-6726,0,4.4,2,0.1428571428571428
Virgil van Dijk,313,7,2,2,0,6,387,0,0,0,6.6,-344427,1,6.0,12,0.3809523809523814
Vitalii Mykolenko,260,7,1,0,0,4,270,0,0,0,0.2,-5756,0,4.3,6,-0.2857142857142858
Vladimír Coufal,528,7,3,3,1,10,626,0,0,0,1.4,102262,0,4.5,28,-1.1428571428571423
Wesley Fofana,201,7,0,0,0,0,0,0,0,0,0.0,-2249,0,4.4,0,0.0
William Saliba,20,7,2,1,3,6,630,0,0,0,26.3,577185,0,5.2,29,-2.904761904761905
Willy Boly,439,7,3,0,1,9,518,0,0,0,0.6,29327,1,4.5,21,-5.761904761904762
Yasser Larouci,592,7,0,0,0,5,195,0,0,0,0.1,-1967,0,4.4,4,-0.8571428571428572
Álvaro Fernández Carreras,380,7,0,0,0,0,0,0,0,0,0.2,-16552,0,4.0,0,0.0
